Bus_Num,Name,LF_Area_Num,LZ_Num,Type,Type_Original,Final_V_pu,Final_A_deg,Final_V_pu_Original,Final_A_deg_Original,Load_MW,Load_MVAR,Gen_MW,Gen_MVAR,Base_KV,Desired_V_pu,Max_MVAR_V,Min_MVAR_V,MVAR_V_Limit,G_pu,B_pu,Remote_Con_Bus_Num,V_Measured,P_Measured,Q_Measured,ErrorVariance_V,ErrorVariance_P,ErrorVariance_Q
1,Glen Lyn 132,1,1,3,3,1.06,0.0,1.06,0.0,0.0,0.0,260.2,-16.1,132.0,1.06,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2,Claytor  132,1,1,2,2,1.043,-5.48,1.043,-5.48,21.7,12.7,40.0,50.0,132.0,1.045,50.0,-40.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
3,Kumis    132,1,1,0,0,1.021,-7.96,1.021,-7.96,2.4,1.2,0.0,0.0,132.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
4,Hancock  132,1,1,0,0,1.012,-9.62,1.012,-9.62,7.6,1.6,0.0,0.0,132.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
5,Fieldale 132,1,1,2,2,1.01,-14.37,1.01,-14.37,94.2,19.0,0.0,37.0,132.0,1.01,40.0,-40.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
6,Roanoke  132,1,1,0,0,1.01,-11.34,1.01,-11.34,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
7,Blaine   132,1,1,0,0,1.002,-13.12,1.002,-13.12,22.8,10.9,0.0,0.0,132.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
8,Reusens  132,1,1,2,2,1.01,-12.1,1.01,-12.1,30.0,30.0,0.0,37.3,132.0,1.01,40.0,-10.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
9,Roanoke  1.0,1,1,0,0,1.051,-14.38,1.051,-14.38,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
10,Roanoke   33,1,1,0,0,1.045,-15.97,1.045,-15.97,5.8,2.0,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.19,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
11,Roanoke   11,1,1,2,2,1.082,-14.39,1.082,-14.39,0.0,0.0,0.0,16.2,11.0,1.082,24.0,-6.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
12,Hancock   33,1,1,0,0,1.057,-15.24,1.057,-15.24,11.2,7.5,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
13,Hancock   11,1,1,2,2,1.071,-15.24,1.071,-15.24,0.0,0.0,0.0,10.6,11.0,1.071,24.0,-6.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
14,Bus 14    33,1,1,0,0,1.042,-16.13,1.042,-16.13,6.2,1.6,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
15,Bus 15    33,1,1,0,0,1.038,-16.22,1.038,-16.22,8.2,2.5,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
16,Bus 16    33,1,1,0,0,1.045,-15.83,1.045,-15.83,3.5,1.8,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
17,Bus 17    33,1,1,0,0,1.04,-16.14,1.04,-16.14,9.0,5.8,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
18,Bus 18    33,1,1,0,0,1.028,-16.82,1.028,-16.82,3.2,0.9,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
19,Bus 19    33,1,1,0,0,1.026,-17.0,1.026,-17.0,9.5,3.4,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
20,Bus 20    33,1,1,0,0,1.03,-16.8,1.03,-16.8,2.2,0.7,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
21,Bus 21    33,1,1,0,0,1.033,-16.42,1.033,-16.42,17.5,11.2,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
22,Bus 22    33,1,1,0,0,1.033,-16.41,1.033,-16.41,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
23,Bus 23    33,1,1,0,0,1.027,-16.61,1.027,-16.61,3.2,1.6,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
24,Bus 24    33,1,1,0,0,1.021,-16.78,1.021,-16.78,8.7,6.7,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.043,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
25,Bus 25    33,1,1,0,0,1.017,-16.35,1.017,-16.35,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
26,Bus 26    33,1,1,0,0,1.0,-16.77,1.0,-16.77,3.5,2.3,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
27,Cloverdle 33,1,1,0,0,1.023,-15.82,1.023,-15.82,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
28,Cloverdle132,1,1,0,0,1.007,-11.97,1.007,-11.97,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
29,Bus 29    33,1,1,0,0,1.003,-17.06,1.003,-17.06,2.4,0.9,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
30,Bus 30    33,1,1,0,0,0.992,-17.94,0.992,-17.94,10.6,1.9,0.0,0.0,33.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
